  1856         2017
 1905   -0.220   -0.177   -0.354   -0.168   -0.058   -0.167   -0.049   -0.138   -0.351   -0.247   -0.264   -0.240
 1906   -0.067   -0.028   -0.048   -0.040   -0.156    0.012   -0.003   -0.060   -0.116   -0.137   -0.014   -0.221
 1907   -0.182   -0.345   -0.251   -0.158   -0.145   -0.251   -0.277   -0.312   -0.175   -0.216   -0.224   -0.188
 1908   -0.228   -0.230   -0.237   -0.206   -0.160   -0.061    0.027    0.011   -0.086   -0.118   -0.152   -0.119
 1909   -0.102   -0.140   -0.099   -0.146   -0.004   -0.126   -0.165   -0.081   -0.112   -0.149   -0.289   -0.232
 1910   -0.305   -0.249   -0.258   -0.308   -0.339   -0.359   -0.287   -0.257   -0.104   -0.188   -0.076   -0.240
 1911   -0.251   -0.251   -0.306   -0.318   -0.342   -0.237   -0.166   -0.063   -0.117   -0.112   -0.229   -0.171
 1912   -0.235   -0.258   -0.216   -0.167   -0.114   -0.149   -0.255   -0.393   -0.243   -0.249   -0.221   -0.234
 1913   -0.306   -0.211   -0.224   -0.440   -0.447   -0.565   -0.438   -0.434   -0.427   -0.381   -0.455   -0.326
 1914   -0.222   -0.318   -0.405   -0.383   -0.262   -0.376   -0.431   -0.370   -0.188   -0.113   -0.184   -0.227
 1915   -0.128   -0.116   -0.003    0.052    0.262    0.294    0.318    0.213    0.197    0.030   -0.006    0.012
 1916   -0.039   -0.098   -0.092   -0.118    0.020    0.029   -0.074   -0.016   -0.003   -0.074   -0.240   -0.208
 1917   -0.293   -0.349   -0.401   -0.305   -0.253   -0.151   -0.208   -0.191   -0.281   -0.341   -0.319   -0.258
 1918   -0.100   -0.174   -0.117   -0.178   -0.238   -0.418   -0.366   -0.390   -0.364   -0.257   -0.298   -0.223
 1919   -0.225   -0.058   -0.191   -0.055   -0.164   -0.221   -0.282   -0.190   -0.191   -0.142   -0.226   -0.289
 1920   -0.460   -0.402   -0.450   -0.333   -0.251   -0.280   -0.274   -0.302   -0.275   -0.266   -0.426   -0.302
 1921   -0.289   -0.272   -0.316   -0.263   -0.249   -0.246   -0.107   -0.245   -0.224   -0.053   -0.261   -0.119
 1922   -0.203   -0.240   -0.339   -0.408   -0.316   -0.330   -0.375   -0.307   -0.366   -0.285   -0.349   -0.323
 1923   -0.362   -0.459   -0.402   -0.428   -0.279   -0.312   -0.320   -0.424   -0.368   -0.263   -0.214   -0.059
 1924   -0.129   -0.197   -0.103   -0.056    0.047   -0.096   -0.124   -0.136   -0.203   -0.234   -0.314   -0.286
 1925   -0.324   -0.309   -0.237   -0.178   -0.076   -0.188   -0.143   -0.130   -0.118   -0.086   -0.171    0.047
 1926    0.035    0.108    0.048    0.110    0.126    0.069    0.142    0.053    0.042    0.178    0.027    0.090
 1927    0.081    0.077    0.040    0.069    0.192    0.155    0.156    0.158    0.105    0.174    0.137   -0.024
 1928   -0.045   -0.094   -0.093   -0.098    0.017    0.067    0.086    0.102    0.088    0.042   -0.051   -0.090
 1929   -0.087   -0.099   -0.089   -0.015   -0.109   -0.191   -0.179   -0.154   -0.064   -0.053   -0.113   -0.184
 1930   -0.122   -0.174   -0.093   -0.209   -0.110   -0.079    0.061    0.070    0.289    0.203    0.154    0.144
 1931    0.116    0.067    0.149    0.152    0.226    0.270    0.195    0.152    0.265    0.320    0.060    0.173
 1932    0.177    0.231    0.248    0.213    0.155    0.245    0.272    0.388    0.337    0.239    0.138    0.097
 1933    0.089    0.158    0.092    0.212    0.293    0.245    0.281    0.283    0.244    0.332    0.081    0.004
 1934   -0.110   -0.188   -0.210   -0.092   -0.111    0.035    0.172    0.081    0.144    0.172    0.019   -0.003
 1935    0.044   -0.134   -0.148    0.056    0.143    0.111    0.064    0.006   -0.035   -0.017    0.021    0.102
 1936    0.138    0.147    0.195    0.197    0.169    0.194    0.196    0.215    0.175    0.105    0.021    0.049
 1937    0.056    0.087    0.099    0.070    0.132    0.451    0.612    0.592    0.508    0.298    0.257    0.354
 1938    0.212    0.153    0.200    0.238    0.204    0.169    0.206    0.299    0.310    0.356    0.320    0.219
 1939    0.136    0.080   -0.031    0.096    0.106    0.178    0.326    0.324    0.301    0.011   -0.152   -0.078
 1940    0.063   -0.192   -0.143   -0.031    0.003    0.015    0.098    0.107    0.026   -0.048   -0.131   -0.137
 1941   -0.060    0.096    0.133    0.066    0.039   -0.017    0.090    0.280    0.306    0.417    0.394    0.328
 1942    0.137    0.200    0.194    0.206    0.211    0.261    0.102    0.147    0.226    0.205    0.198    0.094
 1943    0.131    0.098   -0.101   -0.134   -0.122   -0.074    0.019    0.018    0.078    0.082    0.146    0.230
 1944    0.303    0.320    0.425    0.317    0.295    0.350    0.364    0.446    0.420    0.369    0.275    0.277
 1945    0.263    0.352    0.368    0.414    0.313    0.177    0.087    0.111    0.088    0.106    0.188    0.142
 1946    0.281    0.194    0.135    0.065    0.093   -0.097   -0.201   -0.160   -0.013   -0.012   -0.061   -0.031
 1947   -0.170   -0.123   -0.087   -0.093   -0.150   -0.148   -0.152   -0.095   -0.046   -0.085    0.051    0.038
