MEI Index (last update: 8 January 2017)

Bimonthly MEI values (in 1/1000 of standard deviations), starting with Dec1949/Jan1950, thru last
month.  More information on the MEI can be found on the MEI homepage.
Missing values are left blank.  Note that values can still change with each monthly update, even 
though such changes are typically smaller than +/-0.1.  All values are normalized for each bimonthly
season so that the 44 values from 1950 to 1993 have an average of zero and a standard deviation of "1".  
Responses to 'FAQs' can be found below this table:

YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
2001	-.502	-.669	-.571	-.091	.233	.006	.27	.338	-.165	-.275	-.153	.019
2002	-.032	-.176	-.137	.401	.851	.913	.685	1.017	.908	1	1.09	1.145
2003	1.199	.937	.831	.365	.111	.097	.144	.316	.477	.516	.57	.351
2004	.322	.356	-.056	.285	.539	.267	.541	.627	.572	.508	.805	.667
2005	.31	.81	1.055	.642	.836	.585	.49	.352	.315	-.167	-.392	-.57
2006	-.435	-.411	-.533	-.621	.008	.53	.691	.759	.823	.955	1.286	.951
2007	1.012	.542	.112	.015	.247	-.215	-.288	-.441	-1.181	-1.217	-1.165	-1.193
2008	-.968	-1.355	-1.583	-.874	-.368	.133	.054	-.266	-.551	-.692	-.597	-.663
2009	-.711	-.677	-.678	-.109	.361	.819	1.035	1.067	.735	.909	1.121	1.045
2010	1.152	1.521	1.427	.95	.643	-.325	-1.156	-1.683	-1.868	-1.899	-1.49	-1.577
2011	-1.645	-1.53	-1.511	-1.392	-.288	-.075	-.228	-.519	-.769	-.933	-.949	-.957
2012	-.995	-.665	-.377	.127	.747	.835	1.098	.619	.339	.081	.125	.094
2013	.069	-.119	-.128	.069	.146	-.168	-.355	-.48	-.133	.13	-.053	-.248
2014	-.287	-.241	.032	.248	.976	.98	.882	.954	.585	.438	.763	.558
2015	.419	.468	.67	.97	1.584	2.045	1.948	2.366	2.53	2.241	2.297	2.112
2016	2.202	2.121	1.96	2.07	1.699	1.001	.312	.175	-.101	-.379	-.212	-.121
